transcript_id,ENCLB117FKX,ENCLB129EAK,ENCLB597ZOR,ENCLB925FOQ
FBsf0000769626,0,0,0,0
FBsf0000769698,0,0,0,0
FBsf0000769625,0,0,0,0
FBsf0000769697,0,0,0,0
FBsf0000920609,0,0,0,0
FBsf0000916817,0,0,0,0
FBtr0077949,2,0,6,3
FBsf0000920608,1,0,0,0
FBtr0332270,0,0,0,0
FBtr0301416,0,0,16,63
FBsf0000917759,0,0,0,0
FBtr0479958,0,0,2142,4926
FBtr0077997,0,0,0,0
FBsf0000916830,0,0,0,0
FBsf0000916831,0,0,0,0
FBsf0000767133,0,0,0,0
FBsf0000919017,0,0,0,0
FBtr0301417,340,161,687,938
FBsf0000767134,1,1,1,1
FBtr0301087,789,738,569,1585
FBtr0077951,512,543,304,0
FBtr0077994,0,0,311,209
FBsf0000763696,0,0,0,0
FBtr0332571,0,0,0,0
FBsf0000916916,0,0,0,0
FBsf0000919716,0,0,1,0
FBsf0000919717,0,0,0,0
FBsf0000918230,0,0,0,0
FBtr0077954,0,0,390,658
FBsf0000764619,0,0,0,0
FBsf0000764620,0,0,1,0
FBsf0000915810,0,0,0,0
FBsf0000915809,0,0,0,0
FBtr0077955,0,0,4,0
FBsf0000920580,0,0,1,1
FBsf0000915811,0,0,0,0
FBsf0000920581,0,0,0,0
FBtr0332272,0,0,0,164
FBsf0000918562,0,0,0,0
FBsf0000916907,0,0,0,0
FBtr0346497,0,0,2,0
FBtr0077958,0,3,15,44
FBsf0000917899,0,0,0,0
FBsf0000918857,0,0,0,0
FBtr0331290,0,0,0,0
FBtr0331287,0,0,0,0
FBsf0000918585,0,0,0,0
FBtr0077981,0,6,0,2
FBtr0331289,0,0,0,0
FBsf0000916964,0,0,0,0
FBsf0000917785,0,0,0,0
FBsf0000915812,0,0,0,0
FBtr0344015,0,0,166,244
FBsf0000916939,0,0,0,0
FBtr0308698,0,0,0,0
FBtr0335394,0,386,527,0
FBtr0344790,0,0,0,515
FBsf0000916942,0,0,0,0
FBsf0000918614,0,0,0,0
FBtr0307056,0,33,0,0
FBtr0335379,0,0,0,0
FBsf0000763739,0,0,0,0
FBtr0077977,0,0,1218,885
FBsf0000916971,0,0,1,1
FBsf0000916972,0,0,0,0
FBtr0307096,0,0,0,0
FBtr0335380,0,0,7,47
FBsf0000916803,0,0,0,0
FBsf0000916804,0,0,0,0
FBsf0000916958,0,0,0,0
FBsf0000919981,0,0,0,0
FBsf0000919980,0,0,0,0
FBtr0114498,0,0,0,0
FBsf0000915813,0,0,0,0
FBtr0077993,4291,2698,468,838
FBsf0000918387,1,1,1,1
FBtr0077952,937,780,323,460
FBsf0000918803,1,1,1,1
FBtr0077953,506,476,27,0
FBtr0332569,89,39,80,252
FBsf0000765548,1,1,1,1
FBsf0000765549,1,1,1,1
FBsf0000915376,1,1,1,1
FBtr0332570,3,1,22,18
FBtr0332273,386,253,373,545
FBtr0077989,871,599,0,0
FBtr0077987,1054,1009,365,311
FBtr0077988,690,487,227,0
FBsf0000918203,1,1,1,1
FBtr0077956,1430,965,2272,1595
FBtr0077986,137,75,32,42
FBsf0000917804,1,1,1,1
FBtr0077957,21,0,18,0
FBtr0332271,2,0,0,10
FBtr0077959,278,201,54,53
FBsf0000919100,1,1,1,1
FBsf0000919101,1,1,1,1
FBtr0077985,459,430,148,132
FBsf0000918610,1,1,1,1
FBtr0077960,420,350,220,193
FBsf0000918754,1,1,1,1
FBtr0100022,3591,2726,777,988
FBtr0332274,111,0,0,0
FBtr0100023,6,0,11,5
FBtr0077961,929,942,121,261
FBtr0077982,33,19,53,152
FBtr0077962,202,161,34,56
FBtr0077964,257,201,161,284
FBtr0077980,817,458,675,134
FBtr0304710,243,454,818,3150
FBsf0000918210,1,1,1,1
FBtr0077965,24,17,13,11
FBsf0000916376,1,1,0,0
FBsf0000763854,1,1,0,0
FBtr0077979,1256,1012,154,261
FBsf0000917387,1,1,1,1
FBtr0331288,1067,664,142,59
FBtr0077966,643,568,0,0
FBsf0000916940,1,1,1,0
FBtr0077968,771,305,385,441
FBtr0335395,55,8,193,558
FBsf0000916943,1,1,1,1
FBtr0077978,644,565,69,194
FBsf0000916969,1,1,1,1
FBtr0077971,249,238,22,81
FBtr0307057,31,0,0,0
FBtr0077972,22,0,106,98
FBsf0000916957,1,0,1,0
FBtr0335381,20,4,62,456
FBtr0307097,0,0,0,0
FBtr0335382,0,0,0,0
FBtr0077973,10,0,15,96
FBtr0077920,0,4,0,0
FBsf0000916991,0,0,0,0
FBtr0335383,7,5,39,76
FBtr0479835,0,0,14,12
FBsf0000765346_1,0,0,0,0
FBsf0000765346_2,0,0,0,0
FBsf0000765347_1,0,0,0,0
FBsf0000765347_2,0,0,0,0
FBsf0000919359,0,0,0,0
FBtr0077921,9,0,0,0
FBtr0077942,0,0,189,44
FBtr0329947,0,0,208,3580
